"KAYSON","Kaynarca Sondurak","40.87141","29.267"
"TALYUR","Talebe Yurdu","40.872711","29.262497"
"SEHOZA","Şehit Ozan Özen","40.87248","29.26452"
"KIBSOK","Kıbrıs Sokak","40.873933","29.258762"
"UNZSOK","Ünzile Sokak","40.87422","29.25706"
"PENSGK","Pendik SGK Merkezi","40.875278","29.254876"
"DENSIT","Denizpark Sitesi","40.87553","29.25213"
"KAYPAR","Kaynarca Parkı","40.876086","29.248734"
"AYDCAD","Aydınlı Caddesi","40.876725","29.246185"
"PENEMN","Pendik Emniyet Müdürlüğü","40.87866","29.243102"
"MOSKAV","Mostar Kavşağı","40.881617","29.239145"
"GONSOK","Gonca Sokak","40.882436","29.235799"
"PENYHT","Pendik YHT İstasyonu","40.880765","29.231122"
"SANKOP","Sancak Köprüsü","40.880538","29.226487"
"PENDEV","Pendik Devlet Hastanesi","40.877456","29.227624"
"PALMIY","Palmiye","40.876012","29.22565"
"VETARA","Veteriner Araştırma","40.880084","29.214127"
"YUNUS1","Yunus","40.882955","29.208484"
"KUMCUL","Kumcular","40.883977","29.204192"
"KULMER","Kültür Merkezi","40.884789","29.197562"
"KARSAH","Kartal Sahil","40.887514","29.187069"
"ADNKAH","Adnan Kahveci","40.885973","29.180653"
"YAPMAR","Yapı Market","40.891472","29.173894"
"ATASAH","Atalar Sahil","40.89444","29.168508"
"TRABZO","Trabzonspor","40.897409","29.163401"
"TEKKAM","Tekel Kampüsü","40.900798","29.156234"
"FEVORH","FEV Orhantepe","40.902047","29.145999"
"DRASAH","Dragos Sahil","40.90795","29.138124"
"BEZALE","Bezmi Alem Hastanesi","40.909377","29.136686"
"KUMISK","Kum İskelesi","40.913464","29.133661"
"DRSADA","Dr. Sadık Ahmet","40.916626","29.131494"
"ISTYOL","İstasyon Yolu","40.918264","29.129755"
"MALSAH","Maltepe Sahili","40.922447","29.126601"
"SUREYY","Süreyyapaşa","40.926743","29.122932"
"ADASAH","Adatepe Sahil","40.930407","29.119649"
"IDEALT","İdealtepe","40.934914","29.115615"
"CINAR1","Çınar","40.941884","29.1098"
"KUCSAH","Küçükyalı Sahil","40.944931","29.104393"
"ALTINT","Altıntepe","40.948675","29.10038"
"BAGCAD","Bağdat Caddesi","40.95305","29.095809"
"TASLIC","Taşlıçeşme","40.955416","29.090917"
"CATALC","Çatalçeşme","40.957167","29.087355"
"TANSOK","Tan Sokak","40.958188","29.085081"
"BAGCAD2","Bağdat Caddesi","40.959889","29.081712"
"SENSOK","Şen Sokak","40.961137","29.079008"
"SASKIN","Şaşkınbakkal","40.963259","29.075446"
"KANTAR","Kantarcı","40.964685","29.0727"
"BAGCAD3","Bağdat Caddesi","40.966468","29.069309"
"CADDEB","Caddebostan","40.968525","29.06549"
"YENIYO","Yeniyol","40.970016","29.062572"
"BAGCAD4","Bağdat Caddesi","40.971863","29.05931"
"SELAMI","Selamiçeşme","40.976091","29.050169"
"FENERY","Feneryolu","40.978294","29.046586"
"KONAK1","Konak","40.979671","29.044268"
"KIZILT","Kızıltoprak","40.982846","29.040642"
"SUKSAR","Şükrü Saraçoğlu Stadı","40.986507","29.038668"
"SOGMET","Söğütlüçeşme Metrobüs","40.991722","29.035857"
"ALTIYO","Altıyol","40.990815","29.029698"
"CARKAD","Çarşı Kadıköy","40.991156","29.025879"
"KADSAH","Kadıköy Sahil","40.992451","29.023819"
"CIFTEH","Çiftehavuzlar","40.973985","29.055104"
"BARMAN","Barış Manço","40.987058","29.034119"
"SUKSAR2","Şükrü Saraçoğlu Stadı","40.98594","29.036801"
"IHLAMU","Ihlamur","40.981259","29.041307"
"YATLIM","Yat Limanı","40.978748","29.041436"
"KALAMI","Kalamış","40.974868","29.043388"
"CEMTOP","Cemil Topuzlu","40.973969","29.047337"
"ONSMAR","Onsekiz Mart","40.972333","29.050727"
"PIRREI","Piri Reis Üniversitesi","40.816391","29.290259"
"CEZAND","Cezeri And. Mes. Lis.","40.834212","29.306379"
"ITUDEN","İTÜ Denizcilik Fakültesi","40.816391","29.294615"
"TAHCAD","Tahaffuzhane Caddesi","40.818178","29.298327"
"CICEKC","Çiçekçiler","40.82654","29.317575"
"GURSOK","Gürsel Sokak","40.832994","29.307908"
"50YILT","50. Yıl Tahran Anadolu Lisesi","40.968857","29.054117"
"GOZTEP","Göztepe (Operatör Caddesi)","40.96727","29.056242"
"GELENG","Gelengül","40.965884","29.059589"
"CADDEB2","Caddebostan","40.964256","29.064449"
"ERENKO","Erenköy","40.963365","29.067459"
"KANTAR2","Kantarcı","40.962174","29.069958"
"SASKIN2","Şaşkınbakkal","40.958236","29.073118"
"SUADIY","Suadiye","40.956502","29.078166"
"TANSOK2","Tan Sokak","40.954825","29.084201"
"CATALC2","Çatalçeşme","40.953974","29.089426"
"BOSISK","Bostancı İskele","40.952362","29.094361"
"CIFTEH2","Çiftehavuzlar","40.970218","29.053173"
"DENHAR","Deniz Harp Okulu","40.814037","29.266183"
"OGUSOK","Öğüt Sokak","40.816854","29.272449"
"MERYUV","Mercan Yuvası","40.818332","29.276344"
"CALSOK","Çalı Sokak","40.818234","29.279852"
"CENSOK","Cengaver Sokak","40.818023","29.28336"
"KERSOK","Kerem Sokak","40.817171","29.286847"
"HILSON","Hilmi Sonay Aile S.M.","40.838514","29.306502"
"EVLCEL","Evliya Çelebi Camii","40.840908","29.306695"
"GULIST","Gülistan","40.84176","29.30411"
"TUZBEL","Tuzla Belediyesi","40.844287","29.299317"
"TERSAN","Tersaneler","40.845989","29.294497"
"ICMKOP","İçmeler Köprüsü","40.849714","29.29822"
"AYDIST","Aydıntepe İstasyon","40.85279","29.294819"
"ESESAP","Esenyalı Sapağı","40.855119","29.292276"
"GUZKOP","Güzelyalı Köprüsü","40.859866","29.281944"
"TERKOP","Tersane Köprüsü","40.866199","29.273533"
"DIYSOK","Diyar Sokak","40.868175","29.267492"
"YEMSIT","Yemek Sitesi (Kaynarca)","40.870531","29.268758"
"KAYALT","Kaynarca Alt Geçit","40.872203","29.265819"
"PALMIY2","Palmiye","40.876977","29.225462"
"PENLIS","Pendik Lisesi","40.87851","29.222742"
"VETARA2","Veteriner Araştırma","40.880133","29.216155"
"YUNUS2","Yunus","40.883422","29.208307"
"BAHCEL","Bahçeler","40.817999","29.301374"
"KALEKA","Kalekapı","40.81834","29.305301"
"TUZLIS","Tuzla Lisesi","40.820419","29.307811"
"BITPAR","Şh. O. E. Bitlis Parkı","40.822002","29.311309"
"GALSIT","Galatasaraylılar Sitesi","40.823479","29.316823"
"VATCAD","Vatan Caddesi","40.825692","29.320235"
"VALSIT","Valiler Sitesi","40.82615","29.31294"
"DORTYO","Dörtyol","40.826146","29.31074"
"CAKCAD","F. Çakmak Caddesi","40.828671","29.310697"
"NALCAM","Nalbant Camii","40.828582","29.308519"
"AYISOK","Ayışığı Sokak","40.830031","29.30779"
"HAVEVL","Hava Evleri","40.885523","29.19923"
"KULMER2","Kültür Merkezi","40.887015","29.195217"
"MALPER","Maltepe Peronlar","40.917826","29.130807"
"ISTYOL2","İstasyon Yolu","40.824332","29.320782"
"SIFSUL","Şifalı Sular","40.844519","29.295615"